conversation_id,text,author_id,created_at,in_reply_to_user_id,id,edit_history_tweet_ids,author_name
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/n7cbotvfCw”",109485339,2014-03-24T15:02:12.000Z,19106719,448112552526876672,['448112552526876672'],John23VC
448110947937165312,"@MAS Berdoa agar jumpa kapten,pem kapten,anak kapal dan penumpang dengan selamat tetapi hari ini menerima berita sedih.",2177672006,2014-03-24T15:02:06.000Z,19106719,448112528170573825,['448112528170573825'],ZairinIsmail
448110947937165312,@MAS ..i dont hv data dtls but it is still incloncusive..inmarsat detcted but is thre 100% proof?..debris found doesnt reflect d actual loc,537416705,2014-03-24T15:01:31.000Z,19106719,448112380501696512,['448112380501696512'],manness1
448110947937165312,@MAS i am crying so hard you'll never know oh my god this is so heartbreaking 😭😭😭😭😭,119647297,2014-03-24T15:00:37.000Z,19106719,448112152864239616,['448112152864239616'],k1m1eee
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/OOXWGuHUw9”",378418378,2014-03-24T14:59:35.000Z,19106719,448111894981652480,['448111894981652480'],Khaledmhd
448110947937165312,"@MAS Do MAS have any remedy or ""pampasan"" that MAS will give to the family members of those on board on MH370?",513013129,2014-03-24T14:59:30.000Z,19106719,448111870898343936,['448111870898343936'],ChiaWeiSiong
448110947937165312,@MAS yu,1394844276,2014-03-24T14:59:26.000Z,19106719,448111854875709440,['448111854875709440'],yuaysh
448110947937165312,@MAS Takziah,2412063743,2014-03-24T14:59:06.000Z,19106719,448111769999773698,['448111769999773698'],SammyYusof
448110947937165312,@MAS Distraught #MH370 families told by text message to assume‘beyond doubt no one survived’ http://t.co/BNVf43wGEu  http://t.co/ieNw0K45Fu,50530789,2014-03-24T14:58:53.000Z,19106719,448111718963875840,['448111718963875840'],NedaAgain
448110947937165312,"RT @MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/Ufu74RzAPQ",16929003,2014-03-24T14:58:51.000Z,19106719,448111710256525312,['448111710256525312'],Matymen
448110947937165312,@MAS condolence to all families member that affected,2200480554,2014-03-24T14:58:09.000Z,19106719,448111531863977984,['448111531863977984'],michaelkk59
448110947937165312,"RT @MAS: We humbly offer our sincere thoughts, prayers and condolences to everyone affected by #MH370 tragedy http://t.co/mOVm3fsoh0",16334480,2014-03-24T14:57:44.000Z,19106719,448111427547451392,['448111427547451392'],MickiMaynard
448110947937165312,@MAS alfatihah for muslim passanger. ..,2331127243,2014-03-24T14:57:21.000Z,19106719,448111330759700480,['448111330759700480'],4545Olol
448110947937165312,@MAS Salam Takziah,1822814209,2014-03-24T14:56:40.000Z,19106719,448111159099400192,['448111159099400192'],LynasLina
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/8rGnbRDHb1” @nbc6",1855328768,2014-03-24T14:56:29.000Z,19106719,448111114547900416,['448111114547900416'],jamieNBC6
448110947937165312,@MAS al fatihah,1822814209,2014-03-24T14:56:23.000Z,19106719,448111087368421376,['448111087368421376'],LynasLina
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/5e2OwE7lQf”",830877866,2014-03-24T14:56:14.000Z,19106719,448111050882174976,['448111050882174976'],emmanuelbadong
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/MRWEHzs37U”",87868847,2014-03-24T14:56:04.000Z,19106719,448111009086337024,['448111009086337024'],X556
